"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp591_c0_seq1"	78699,2691517193	-4,41630845882051	0,194440817733238	-22,7128671351271	3,34304393754414e-114	8,49133160136213e-112
"comp176_c0_seq1"	173767,766509198	-1,9928178126536	0,0924669522454511	-21,5516761854951	5,10645244913142e-103	6,4851946103969e-101
"comp886_c0_seq1"	56755,4507155031	-2,24025642202974	0,112707275041033	-19,8767685689689	6,46669747894291e-88	5,47513719883833e-86
"comp787_c0_seq1"	348477,801786351	3,99400845057796	0,219312735905559	18,2114751981293	4,18516622881841e-74	2,65758055529969e-72
"comp724_c0_seq1"	84752,6782108398	-3,06017520940397	0,176559835032965	-17,3322273938045	2,68716697680459e-67	1,36508082421673e-65
"comp787_c0_seq2"	397275,591411078	4,23154087650934	0,244609779173894	17,2991484265276	4,77393234309463e-67	2,02096469191006e-65
"comp3376_c0_seq1"	161671,084463315	4,27485536043655	0,248490858975785	17,2032700842856	2,50960070581465e-66	9,10626541824174e-65
"comp266_c0_seq1"	101474,77305775	-2,03220825497329	0,119676802439953	-16,9808034100253	1,13915915827572e-64	3,61683032752541e-63
"comp10009_c0_seq2"	48560,4887747462	3,49337689388408	0,206703767673384	16,9004026061297	4,46845203025049e-64	1,26109646187069e-62
"comp75_c0_seq2"	245739,383786161	-2,15027910947746	0,127985834796205	-16,8009148270307	2,40308853183468e-63	6,10384487086009e-62
"comp310_c0_seq2"	188908,311185544	-2,32824646787239	0,143191452306746	-16,2596749342607	1,90747271284867e-59	4,40452790057783e-58
"comp227_c0_seq1"	63774,7946210809	-2,20704582637357	0,136688604796418	-16,1465239158795	1,20144187299299e-58	2,54305196450183e-57
"comp866_c0_seq9"	601606,589121628	4,37359151477167	0,274119438790626	15,955057890339	2,62729941955141e-57	5,13333886589275e-56
"comp1245_c0_seq1"	4121899,73623698	3,63736518338345	0,236463522537962	15,3823521883782	2,14993104060802e-53	3,90058917367456e-52
"comp868_c0_seq1"	578073,281660086	4,26465385437358	0,283828436313227	15,0254636560348	5,00101868244946e-51	8,46839163561442e-50
